1	12336	6	0	0	0	0	1
2	13670	8	0	0	0	0	1
3	14468	10	0	0	0	0	1
4	15990	13	0	0	0	0	1
5	18000	16	0	0	0	0	1
6	20900	20	0	0	0	0	1
7	11283	1	0	0	1	0	2
8	12313	3	0	0	1	0	2
9	12884	4	0	0	1	0	2
10	13245	5	0	0	1	0	2
11	13829	6	0	0	1	0	2
12	15542	10	0	0	1	0	2
13	16882	12	0	0	1	0	2
14	18100	14	0	0	1	0	2
15	19800	16	0	0	1	0	2
16	20904	17	0	0	1	0	2
17	11608	1	0	0	0	1	3
18	12195	2	0	0	0	1	3
19	13231	4	0	0	0	1	3
20	13677	5	0	0	0	1	3
21	10535	2	1	0	0	0	1
22	11417	4	1	0	0	0	1
23	14861	11	1	0	0	0	1
24	11772	2	1	0	1	0	2
25	15305	8	1	0	1	0	2
26	11767	1	1	0	0	1	3
27	13876	1	0	1	0	0	1
28	14975	3	0	1	0	0	1
29	16498	7	0	1	0	0	1
30	17900	8	0	1	0	0	1
31	22456	2	0	1	1	0	2
32	22885	6	0	1	1	0	2
33	29300	13	0	1	1	0	2
34	29500	16	0	1	1	0	2
35	18998	3	0	1	0	1	3
36	23521	6	0	1	0	1	3
37	21900	8	0	1	0	1	3
38	25242	10	0	1	0	1	3
39	23981	12	0	1	0	1	3
40	27450	15	0	1	0	1	3
41	16465	5	1	1	0	0	1
42	22371	3	1	1	1	0	2
43	19801	1	1	1	0	1	3
44	22269	4	1	1	0	1	3
